category,device,gender,age,amount
Technology,iOS,M,18-24,61.0
Fashion,iOS,F,18-24,44.0
Sports,iOS,M,18-24,41.0
Environment,android,U,45-54,48.0
Environment,iOS,M,18-24,39.0
Environment,android,F,55+,25.0
Technology,iOS,M,18-24,42.0
Fashion,android,M,18-24,30.0
Games,android,F,45-54,59.0
Technology,iOS,U,18-24,31.0
Sports,iOS,M,45-54,37.0
Sports,iOS,M,55+,24.0
Sports,iOS,F,18-24,1.0
Environment,android,M,35-44,72.0
Games,iOS,F,18-24,36.0
Technology,iOS,F,18-24,21.0
Sports,android,F,18-24,24.0
Technology,iOS,F,18-24,41.0
Technology,android,F,18-24,40.0
Environment,android,F,35-44,29.0
Fashion,iOS,M,35-44,38.0
Technology,android,F,18-24,45.0
Sports,iOS,F,18-24,45.0
Games,android,M,18-24,44.0
Fashion,iOS,M,55+,25.0
Sports,iOS,F,35-44,46.0
Games,iOS,F,18-24,48.0
Environment,android,M,45-54,31.0
Technology,iOS,F,45-54,4.0
Games,iOS,M,25-34,43.0
Technology,android,F,18-24,39.0
Games,iOS,U,25-34,44.0
Games,iOS,F,55+,37.0
Sports,iOS,F,18-24,41.0
Fashion,iOS,F,35-44,55.0
Environment,iOS,F,25-34,31.0
Fashion,iOS,M,45-54,39.0
Sports,iOS,F,25-34,20.0
Environment,android,U,18-24,18.0
Games,iOS,F,18-24,29.0
Sports,android,M,25-34,50.0
Fashion,android,M,18-24,71.0
Fashion,iOS,U,25-34,27.0
Sports,iOS,F,25-34,31.0
Fashion,iOS,M,45-54,45.0
Fashion,iOS,M,18-24,31.0
Games,android,M,25-34,66.0
Fashion,iOS,F,18-24,24.0
Environment,android,M,18-24,38.0
Sports,android,F,18-24,56.0
Games,iOS,M,45-54,44.0
Sports,iOS,U,18-24,34.0
Environment,iOS,M,18-24,37.0
Sports,iOS,F,25-34,49.0
Environment,android,F,18-24,43.0
Sports,android,F,18-24,20.0
Fashion,android,M,55+,58.0
Fashion,iOS,F,25-34,47.0
Fashion,android,F,18-24,40.0
Fashion,iOS,M,35-44,23.0
Technology,android,M,18-24,41.0
Sports,iOS,F,18-24,52.0
Sports,iOS,M,18-24,19.0
Fashion,android,F,45-54,46.0
Environment,iOS,F,18-24,50.0
Games,iOS,M,18-24,36.0
Sports,android,F,18-24,32.0
Technology,iOS,F,18-24,14.0
Technology,iOS,M,18-24,29.0
Sports,android,M,18-24,61.0
Games,iOS,F,45-54,45.0
Environment,iOS,F,45-54,36.0
Environment,android,M,18-24,58.0
Sports,iOS,M,25-34,61.0
Sports,iOS,M,18-24,33.0
Environment,iOS,F,18-24,25.0
Environment,iOS,F,18-24,24.0
Sports,android,F,18-24,45.0
Environment,android,F,25-34,12.0
Environment,android,F,55+,45.0
Technology,iOS,M,18-24,73.0
Fashion,android,M,35-44,28.0
Technology,iOS,F,18-24,10.0
Games,android,F,35-44,38.0
Fashion,iOS,M,18-24,21.0
Fashion,iOS,F,35-44,46.0
Technology,android,F,25-34,18.0
Fashion,android,M,45-54,43.0
Games,iOS,M,18-24,34.0
Fashion,iOS,M,45-54,39.0
Technology,iOS,M,55+,33.0
Technology,android,M,18-24,28.0
Environment,iOS,F,18-24,49.0
Fashion,iOS,U,18-24,29.0
Sports,android,F,18-24,29.0
Sports,android,M,18-24,44.0
Technology,android,M,35-44,31.0
Games,iOS,F,45-54,43.0
Environment,android,F,35-44,43.0
Sports,iOS,F,55+,47.0
Sports,android,M,18-24,45.0
Technology,android,F,18-24,44.0
Fashion,android,M,18-24,61.0
Sports,android,F,35-44,44.0
Sports,iOS,F,18-24,33.0
Fashion,iOS,M,18-24,43.0
Games,android,F,45-54,56.0
Fashion,iOS,F,18-24,39.0
Sports,iOS,U,18-24,55.0
Fashion,iOS,F,18-24,36.0
Environment,android,M,18-24,24.0
Technology,iOS,F,35-44,26.0
Environment,iOS,M,55+,12.0
Environment,iOS,M,35-44,46.0
Environment,android,M,18-24,42.0
Sports,android,F,45-54,31.0
Sports,android,F,45-54,53.0
Games,iOS,F,18-24,43.0
Sports,iOS,F,18-24,15.0
Fashion,iOS,M,55+,51.0
Fashion,android,M,35-44,63.0
Environment,iOS,M,18-24,39.0
Fashion,iOS,F,18-24,24.0
Technology,android,F,18-24,48.0
Sports,iOS,M,45-54,20.0
Games,iOS,M,45-54,50.0
Technology,android,F,25-34,53.0
Sports,android,F,45-54,21.0
Technology,iOS,F,25-34,52.0
Environment,android,M,18-24,44.0
Technology,iOS,U,25-34,8.0
Environment,iOS,M,18-24,47.0
Environment,android,M,18-24,37.0
Sports,iOS,M,45-54,33.0
Games,android,F,25-34,59.0
Technology,android,M,25-34,27.0
Games,iOS,M,18-24,47.0
Fashion,android,F,35-44,52.0
Technology,iOS,F,55+,44.0
Technology,android,U,18-24,44.0
Sports,iOS,M,35-44,64.0
Fashion,android,M,55+,43.0
Fashion,iOS,M,55+,54.0
Fashion,iOS,M,18-24,23.0
Games,iOS,F,18-24,29.0
Technology,android,F,45-54,53.0
Fashion,iOS,F,45-54,60.0
Sports,android,F,18-24,39.0
Technology,iOS,F,55+,34.0
Games,iOS,M,45-54,64.0
Technology,android,F,18-24,51.0
Sports,android,M,55+,37.0
Technology,android,M,35-44,60.0
Technology,iOS,F,18-24,26.0
Fashion,iOS,U,55+,37.0
Technology,iOS,F,18-24,61.0
Sports,iOS,M,35-44,37.0
Sports,iOS,M,18-24,24.0
Games,iOS,M,35-44,30.0
Fashion,android,M,18-24,40.0
Games,android,M,18-24,15.0
Games,android,M,18-24,25.0
Sports,iOS,F,18-24,35.0
Sports,android,M,18-24,57.0
Technology,iOS,F,55+,24.0
Technology,iOS,F,18-24,38.0
Fashion,iOS,M,18-24,48.0
Technology,iOS,F,18-24,45.0
Environment,android,F,18-24,29.0
Technology,iOS,M,25-34,33.0
Technology,iOS,U,18-24,44.0
Environment,iOS,F,25-34,15.0
Fashion,iOS,M,18-24,57.0
Environment,android,M,25-34,52.0
Sports,android,M,18-24,57.0
Fashion,android,F,18-24,39.0
Sports,iOS,F,25-34,37.0
Technology,iOS,F,45-54,43.0
Fashion,android,F,25-34,24.0
Sports,android,M,45-54,27.0
Games,android,M,18-24,29.0
Environment,iOS,F,45-54,79.0
Fashion,android,F,18-24,33.0
Technology,iOS,F,18-24,26.0
Fashion,iOS,U,25-34,47.0
Games,android,M,55+,47.0
Technology,android,M,18-24,22.0
Fashion,iOS,M,18-24,52.0
Technology,android,F,55+,47.0
Fashion,iOS,U,18-24,57.0
Games,iOS,F,18-24,48.0
Technology,iOS,F,18-24,66.0
Fashion,iOS,F,18-24,41.0
Technology,iOS,M,18-24,29.0
Games,iOS,M,18-24,28.0
Fashion,iOS,M,18-24,24.0
Games,iOS,M,18-24,34.0
Sports,iOS,F,45-54,47.0
Environment,iOS,F,18-24,17.0
Sports,iOS,F,18-24,48.0
Technology,iOS,M,18-24,58.0
Technology,iOS,F,18-24,37.0
Technology,android,F,35-44,31.0
Fashion,iOS,M,18-24,38.0
Environment,iOS,M,45-54,33.0
Fashion,android,F,25-34,35.0
Technology,android,F,45-54,44.0
Sports,android,F,18-24,17.0
Environment,iOS,F,35-44,72.0
Sports,android,M,18-24,67.0
Technology,android,M,55+,42.0
Technology,iOS,F,18-24,24.0
Sports,iOS,U,18-24,36.0
Games,iOS,M,18-24,40.0
Games,iOS,M,35-44,30.0
Sports,iOS,F,25-34,38.0
Sports,android,M,18-24,51.0
Sports,iOS,F,45-54,56.0
Technology,android,M,55+,54.0
Technology,iOS,F,55+,31.0
Sports,iOS,F,18-24,36.0
Games,iOS,F,45-54,55.0
Environment,iOS,M,55+,58.0
Sports,iOS,M,18-24,24.0
Technology,iOS,M,18-24,46.0
Fashion,android,M,18-24,34.0
Games,iOS,M,35-44,1.0
Sports,iOS,M,25-34,51.0
Environment,iOS,M,18-24,51.0
Environment,iOS,F,18-24,34.0
Technology,iOS,M,18-24,64.0
Environment,iOS,F,18-24,48.0
Fashion,android,U,35-44,29.0
Technology,iOS,F,45-54,37.0
Fashion,android,F,18-24,44.0
Fashion,android,F,25-34,56.0
Fashion,iOS,F,18-24,38.0
Sports,iOS,F,35-44,29.0
Environment,iOS,F,45-54,50.0
Sports,iOS,U,18-24,41.0
Technology,android,F,18-24,43.0
Sports,iOS,F,18-24,35.0
Technology,iOS,M,55+,44.0
Environment,iOS,M,45-54,12.0
Environment,iOS,F,35-44,61.0
Sports,iOS,M,35-44,20.0
Technology,android,F,18-24,19.0
Games,iOS,F,45-54,43.0
Environment,android,M,18-24,35.0
Technology,android,F,35-44,58.0
Environment,android,F,35-44,57.0
Games,iOS,M,35-44,11.0
Technology,iOS,M,35-44,26.0
Sports,iOS,F,45-54,46.0
Sports,iOS,F,55+,55.0
Fashion,android,M,35-44,6.0
Technology,android,U,45-54,61.0
Technology,iOS,F,35-44,48.0
Sports,android,U,18-24,44.0
Fashion,iOS,F,18-24,35.0
Games,iOS,F,25-34,35.0
Sports,iOS,F,18-24,25.0
Environment,iOS,M,18-24,36.0
Games,iOS,M,35-44,52.0
Sports,android,M,55+,21.0
Technology,iOS,F,18-24,39.0
Fashion,iOS,M,18-24,40.0
Fashion,iOS,F,18-24,42.0
Fashion,iOS,F,18-24,42.0
Technology,iOS,M,45-54,9.0
Sports,android,F,45-54,28.0
Environment,android,F,55+,47.0
Fashion,iOS,M,18-24,65.0
Fashion,iOS,M,25-34,65.0
Games,iOS,F,18-24,48.0
Sports,iOS,M,18-24,38.0
Sports,android,M,45-54,47.0
Fashion,iOS,M,45-54,36.0
Technology,iOS,F,25-34,26.0
Environment,android,M,35-44,63.0
Technology,iOS,F,18-24,29.0
Games,iOS,M,25-34,23.0
Sports,iOS,M,18-24,57.0
Fashion,android,F,18-24,49.0
Games,iOS,F,55+,66.0
Environment,android,F,18-24,40.0
Games,iOS,M,55+,31.0
Sports,android,M,55+,17.0
Technology,iOS,M,18-24,37.0
Games,iOS,F,18-24,54.0
Games,iOS,M,18-24,45.0
Fashion,iOS,M,55+,29.0
Technology,iOS,F,35-44,51.0
Environment,android,M,18-24,13.0
Games,iOS,F,18-24,44.0
Environment,iOS,F,35-44,28.0
Sports,iOS,F,18-24,44.0
Technology,iOS,M,25-34,53.0
Technology,android,M,18-24,37.0
Sports,iOS,M,45-54,47.0
Sports,iOS,F,25-34,59.0
Environment,iOS,F,45-54,40.0
Technology,iOS,F,18-24,73.0
Fashion,iOS,M,25-34,49.0
Fashion,iOS,F,45-54,14.0
Technology,iOS,F,18-24,21.0
Sports,iOS,M,18-24,42.0
Sports,android,F,18-24,31.0
Games,iOS,F,18-24,32.0
Games,iOS,F,25-34,50.0
Sports,iOS,F,25-34,18.0
Technology,android,F,25-34,25.0
Technology,android,M,25-34,18.0
Fashion,android,F,18-24,54.0
Sports,android,F,35-44,37.0
Environment,android,F,18-24,46.0
Fashion,android,F,35-44,39.0
Fashion,iOS,U,45-54,37.0
Games,android,F,35-44,29.0
Sports,iOS,F,18-24,49.0
Environment,iOS,F,18-24,77.0
Games,iOS,F,45-54,45.0
Environment,iOS,F,55+,21.0
Environment,iOS,F,18-24,10.0
Fashion,iOS,M,18-24,41.0
Sports,iOS,M,18-24,51.0
Technology,android,M,18-24,41.0
Games,iOS,F,25-34,53.0
Games,iOS,M,18-24,42.0
Games,iOS,F,18-24,20.0
Sports,iOS,M,45-54,27.0
Environment,iOS,M,18-24,56.0
Games,iOS,F,18-24,55.0
Sports,iOS,F,18-24,47.0
Sports,iOS,M,18-24,50.0
Technology,iOS,F,45-54,42.0
Sports,iOS,M,55+,41.0
Sports,iOS,F,18-24,33.0
Technology,iOS,M,25-34,41.0
Fashion,iOS,M,18-24,22.0
Games,iOS,M,18-24,31.0
Sports,iOS,F,18-24,27.0
Games,android,F,55+,44.0
Environment,android,F,18-24,44.0
Fashion,iOS,F,18-24,35.0
Technology,android,M,55+,31.0
Games,iOS,M,18-24,34.0
Technology,iOS,M,18-24,42.0
Fashion,iOS,M,18-24,51.0
Environment,iOS,F,18-24,42.0
Environment,android,F,55+,23.0
Technology,iOS,F,25-34,43.0
Environment,iOS,M,18-24,39.0
Sports,iOS,M,35-44,17.0
Technology,iOS,M,35-44,46.0
Sports,iOS,F,35-44,51.0
Games,android,U,18-24,27.0
Games,iOS,F,18-24,28.0
Sports,iOS,F,45-54,26.0
Environment,android,F,18-24,32.0
Sports,iOS,M,18-24,37.0
Sports,iOS,M,18-24,46.0
Games,iOS,M,18-24,71.0
Fashion,iOS,F,55+,53.0
Environment,iOS,M,18-24,44.0
Environment,iOS,F,18-24,56.0
Environment,iOS,M,45-54,69.0
Games,iOS,F,18-24,44.0
Fashion,android,F,25-34,32.0
Games,iOS,M,18-24,57.0
Fashion,iOS,M,35-44,34.0
Sports,iOS,M,25-34,58.0
Environment,android,M,25-34,23.0
Games,android,M,55+,5.0
Games,iOS,F,25-34,38.0
Environment,android,M,55+,44.0
Fashion,iOS,F,45-54,18.0
Games,iOS,M,18-24,45.0
Environment,iOS,U,18-24,31.0
Sports,android,M,18-24,39.0
Games,android,M,55+,43.0
Games,iOS,M,45-54,24.0
Technology,iOS,M,55+,45.0
Games,iOS,M,18-24,26.0
Fashion,iOS,F,25-34,60.0
Sports,iOS,M,45-54,48.0
Technology,iOS,M,55+,38.0
Fashion,iOS,M,18-24,26.0
Environment,iOS,U,18-24,31.0
Environment,android,M,25-34,41.0
Fashion,iOS,F,18-24,3.0
Environment,android,M,18-24,39.0
Fashion,iOS,F,55+,25.0
Fashion,android,F,55+,25.0
Sports,iOS,F,18-24,37.0
Environment,iOS,F,18-24,59.0
Technology,iOS,F,35-44,29.0
Technology,android,M,18-24,41.0
Games,android,F,45-54,36.0
Technology,iOS,M,35-44,48.0
Environment,iOS,F,35-44,30.0
Games,android,M,55+,43.0
Sports,iOS,U,55+,44.0
Fashion,android,U,25-34,33.0
Technology,android,F,25-34,23.0
Fashion,iOS,M,18-24,6.0
Environment,android,F,18-24,47.0
Games,iOS,F,18-24,35.0
Sports,iOS,F,18-24,52.0
Fashion,android,M,18-24,46.0
Sports,iOS,U,35-44,50.0
Environment,android,M,18-24,30.0
Environment,android,M,18-24,38.0
Sports,iOS,M,18-24,42.0
Fashion,android,M,45-54,36.0
Environment,iOS,F,18-24,33.0
Environment,android,F,18-24,25.0
Environment,android,F,25-34,46.0
Games,iOS,F,18-24,65.0
Environment,iOS,F,18-24,42.0
Sports,android,M,18-24,47.0
Sports,android,M,18-24,46.0
Games,iOS,F,18-24,42.0
Fashion,iOS,M,18-24,33.0
Technology,iOS,M,55+,46.0
Games,android,U,18-24,37.0
Games,iOS,F,18-24,29.0
Environment,iOS,F,18-24,34.0
Fashion,iOS,F,18-24,64.0
Environment,android,F,18-24,68.0
Games,iOS,M,18-24,39.0
Fashion,android,F,18-24,47.0
Sports,android,F,45-54,8.0
Environment,iOS,M,45-54,34.0
Games,iOS,M,35-44,59.0
Fashion,iOS,M,25-34,57.0
Environment,android,M,45-54,61.0
Technology,iOS,F,25-34,22.0
Technology,iOS,F,18-24,41.0
Sports,iOS,U,18-24,45.0
Environment,iOS,F,35-44,26.0
Sports,android,F,18-24,34.0
Games,iOS,F,45-54,16.0
Games,android,F,18-24,41.0
Sports,iOS,F,18-24,50.0
Games,iOS,M,35-44,56.0
Environment,iOS,M,18-24,22.0
Technology,iOS,F,25-34,34.0
Environment,iOS,F,55+,18.0
Sports,android,M,18-24,42.0
Technology,iOS,U,35-44,19.0
Sports,android,F,45-54,38.0
Fashion,iOS,M,35-44,41.0
Technology,iOS,F,45-54,51.0
Environment,android,M,18-24,60.0
Fashion,android,M,45-54,55.0
Technology,iOS,M,18-24,39.0
Games,iOS,F,18-24,64.0
Sports,iOS,F,35-44,62.0
Environment,iOS,M,25-34,25.0
Environment,android,F,18-24,24.0
Technology,iOS,F,45-54,37.0
Environment,iOS,F,18-24,39.0
Games,iOS,M,18-24,40.0
Environment,iOS,M,18-24,25.0
Environment,android,F,55+,47.0
Sports,iOS,F,25-34,50.0
Environment,iOS,F,18-24,20.0
Technology,android,M,55+,50.0
Technology,iOS,F,35-44,46.0
Environment,iOS,U,35-44,32.0
Fashion,iOS,M,18-24,27.0
Sports,iOS,M,18-24,37.0
Fashion,android,F,35-44,56.0
Fashion,iOS,M,18-24,34.0
Games,iOS,M,18-24,28.0
Fashion,android,F,45-54,40.0
Sports,iOS,U,18-24,43.0
Environment,android,M,18-24,32.0
Environment,android,F,55+,67.0
Fashion,android,F,18-24,14.0
Fashion,iOS,F,18-24,63.0
Games,iOS,M,35-44,31.0
Environment,android,F,18-24,46.0
Environment,iOS,U,35-44,57.0
Sports,android,U,45-54,51.0
Fashion,iOS,M,18-24,5.0
Games,iOS,M,35-44,49.0
Sports,android,F,55+,55.0
Games,iOS,M,45-54,53.0
Games,iOS,F,18-24,20.0
Technology,android,F,18-24,57.0
Fashion,android,M,45-54,29.0
Technology,iOS,F,18-24,40.0
Environment,iOS,F,18-24,28.0
Technology,android,M,35-44,40.0
Games,iOS,M,35-44,44.0
Games,iOS,F,18-24,62.0
Games,android,M,55+,50.0
Fashion,iOS,F,18-24,13.0
Fashion,iOS,F,35-44,44.0
Technology,iOS,F,18-24,32.0
Environment,iOS,F,45-54,45.0
Fashion,iOS,M,25-34,53.0
Sports,iOS,M,45-54,43.0
Sports,android,F,18-24,23.0
Sports,iOS,F,25-34,41.0
Technology,android,F,18-24,29.0
Games,android,F,18-24,51.0
Fashion,iOS,F,18-24,28.0
Technology,android,M,18-24,50.0
Fashion,iOS,M,35-44,28.0
Games,iOS,F,45-54,34.0
Sports,android,M,18-24,63.0
Games,iOS,F,18-24,41.0
Games,android,F,18-24,47.0
Technology,android,M,18-24,19.0
Sports,android,U,18-24,35.0
Sports,iOS,M,55+,11.0
Environment,iOS,F,18-24,47.0
Environment,android,F,45-54,38.0
Fashion,iOS,F,18-24,35.0
Technology,iOS,F,18-24,62.0
Environment,android,M,18-24,35.0
Environment,android,F,18-24,52.0
Sports,iOS,U,18-24,47.0
Technology,iOS,F,18-24,43.0
Environment,iOS,F,18-24,56.0
Fashion,iOS,M,18-24,45.0
Fashion,iOS,U,45-54,26.0
Environment,android,M,18-24,48.0
Environment,android,M,45-54,42.0
Sports,iOS,M,35-44,31.0
Environment,iOS,M,18-24,13.0
Environment,iOS,M,45-54,46.0
Environment,iOS,F,18-24,9.0
Sports,iOS,M,18-24,45.0
Environment,iOS,U,18-24,43.0
Environment,iOS,M,25-34,61.0
Sports,android,M,18-24,25.0
Fashion,android,U,18-24,43.0
Technology,iOS,F,18-24,67.0
Fashion,android,F,35-44,52.0
Environment,iOS,M,18-24,34.0
Sports,iOS,U,45-54,59.0
Sports,android,F,25-34,62.0
Fashion,android,F,35-44,42.0
Sports,iOS,M,25-34,40.0
Environment,android,F,18-24,40.0
Technology,iOS,M,18-24,40.0
Sports,iOS,M,55+,52.0
Sports,iOS,U,18-24,40.0
Environment,iOS,M,18-24,40.0
Fashion,iOS,F,18-24,35.0
Technology,iOS,M,18-24,52.0
Technology,iOS,F,55+,41.0
Sports,android,M,35-44,19.0
Sports,iOS,M,18-24,14.0
Technology,iOS,U,25-34,40.0
Fashion,iOS,M,25-34,58.0
Fashion,android,F,18-24,43.0
Sports,iOS,F,18-24,39.0
Games,android,F,35-44,34.0
Environment,android,F,45-54,62.0
Technology,android,M,55+,32.0
Games,android,F,18-24,18.0
Games,iOS,M,55+,55.0
Games,iOS,M,18-24,15.0
Technology,iOS,M,18-24,10.0
Technology,iOS,F,18-24,28.0
Technology,iOS,M,45-54,46.0
Fashion,android,M,18-24,52.0
Sports,iOS,M,18-24,34.0
Sports,android,F,18-24,53.0
Fashion,android,F,18-24,41.0
Technology,android,M,55+,27.0
Fashion,iOS,F,18-24,29.0
Environment,iOS,F,18-24,40.0
Games,android,M,35-44,18.0
Games,android,F,18-24,47.0
Sports,iOS,F,25-34,41.0
Sports,iOS,M,18-24,38.0
Sports,iOS,F,45-54,60.0
Technology,android,F,18-24,17.0
Games,iOS,M,55+,45.0
Environment,android,F,45-54,38.0
Fashion,android,F,18-24,34.0
Technology,android,F,55+,23.0
Environment,iOS,M,35-44,40.0
Technology,android,F,18-24,31.0
Games,iOS,M,18-24,33.0
Technology,android,F,35-44,48.0
Fashion,iOS,F,45-54,47.0
Sports,android,F,18-24,55.0
Environment,iOS,M,18-24,40.0
Fashion,iOS,M,35-44,42.0
Environment,iOS,F,18-24,53.0
Environment,android,M,18-24,59.0
Fashion,iOS,M,18-24,51.0
Technology,android,F,25-34,36.0
Games,iOS,F,18-24,23.0
Technology,iOS,F,18-24,15.0
Technology,iOS,F,25-34,13.0
Environment,iOS,F,35-44,38.0
Environment,iOS,F,45-54,37.0
Sports,android,M,18-24,46.0
Games,iOS,F,35-44,16.0
Sports,iOS,U,25-34,14.0
Environment,android,M,18-24,32.0
Sports,iOS,F,25-34,32.0
Sports,iOS,F,55+,56.0
Technology,android,M,18-24,29.0
Technology,android,F,35-44,42.0
Technology,iOS,M,55+,43.0
Games,android,F,25-34,35.0
Environment,iOS,M,18-24,53.0
Technology,android,M,18-24,54.0
Fashion,iOS,F,45-54,53.0
Environment,iOS,M,18-24,29.0
Sports,iOS,F,18-24,12.0
Environment,android,M,45-54,25.0
Games,android,F,18-24,22.0
Technology,iOS,M,55+,31.0
Technology,android,F,18-24,35.0
Games,android,U,18-24,70.0
Fashion,android,M,18-24,37.0
Environment,iOS,M,45-54,27.0
Fashion,iOS,M,35-44,9.0
Technology,iOS,U,18-24,57.0
Games,iOS,M,45-54,30.0
Sports,iOS,F,18-24,33.0
Sports,iOS,M,18-24,56.0
Games,iOS,F,18-24,39.0
Technology,iOS,F,25-34,33.0
Technology,iOS,F,18-24,57.0
Environment,iOS,M,18-24,17.0
Fashion,iOS,F,45-54,38.0
Technology,iOS,F,18-24,24.0
Technology,iOS,F,18-24,28.0
Games,android,M,18-24,20.0
Technology,android,M,45-54,29.0
Environment,android,M,18-24,37.0
Technology,iOS,M,35-44,22.0
Fashion,iOS,F,35-44,79.0
Games,android,F,18-24,65.0
Games,android,F,18-24,56.0
Fashion,iOS,F,18-24,54.0
Sports,iOS,M,18-24,28.0
Sports,iOS,M,18-24,24.0
Environment,iOS,F,35-44,54.0
Sports,android,U,25-34,31.0
Fashion,android,F,18-24,54.0
Fashion,android,F,55+,29.0
Games,iOS,M,18-24,67.0
Sports,iOS,M,18-24,24.0
Environment,android,F,18-24,13.0
Environment,iOS,M,35-44,62.0
Technology,iOS,M,18-24,40.0
Environment,iOS,M,25-34,43.0
Technology,iOS,M,45-54,16.0
Technology,android,M,35-44,56.0
Sports,iOS,F,18-24,27.0
Fashion,android,M,25-34,53.0
Sports,android,F,55+,31.0
Environment,iOS,M,18-24,57.0
Environment,iOS,F,18-24,12.0
Sports,android,M,18-24,46.0
Games,iOS,M,18-24,46.0
Sports,iOS,F,55+,60.0
Technology,iOS,M,35-44,45.0
Environment,android,F,18-24,37.0
Technology,iOS,F,18-24,63.0
Environment,iOS,F,55+,43.0
Environment,android,F,18-24,52.0
Games,android,M,55+,37.0
Sports,iOS,F,25-34,38.0
Environment,iOS,M,18-24,24.0
Fashion,android,F,45-54,40.0
Games,iOS,U,35-44,27.0
Technology,iOS,M,35-44,24.0
Sports,android,M,35-44,44.0
Environment,iOS,M,35-44,28.0
Technology,iOS,F,45-54,39.0
Games,android,M,18-24,51.0
Fashion,android,M,45-54,48.0
Games,iOS,F,18-24,14.0
Environment,iOS,M,18-24,47.0
Technology,iOS,F,18-24,50.0
Fashion,android,F,55+,44.0
Games,android,F,18-24,33.0
Sports,iOS,F,45-54,50.0
Technology,iOS,U,35-44,39.0
Environment,iOS,M,45-54,19.0
Games,iOS,F,18-24,52.0
Fashion,iOS,F,45-54,48.0
Sports,android,F,18-24,33.0
Sports,iOS,F,18-24,24.0
Technology,android,F,18-24,33.0
Fashion,iOS,M,18-24,43.0
Environment,android,M,35-44,40.0
Sports,iOS,F,35-44,60.0
Technology,iOS,U,18-24,37.0
Fashion,iOS,M,45-54,26.0
Fashion,android,M,25-34,67.0
Fashion,iOS,M,25-34,57.0
Fashion,iOS,M,55+,54.0
Environment,iOS,M,55+,24.0
Sports,android,F,55+,44.0
Technology,android,U,18-24,39.0
Fashion,iOS,F,35-44,32.0
Fashion,android,F,45-54,48.0
Sports,android,F,55+,37.0
Technology,android,M,18-24,46.0
Technology,iOS,F,18-24,42.0
Fashion,android,M,18-24,41.0
Sports,iOS,F,25-34,53.0
Fashion,iOS,F,18-24,54.0
Games,iOS,F,35-44,36.0
Technology,android,U,18-24,49.0
Technology,iOS,M,55+,64.0
Sports,android,M,45-54,49.0
Games,android,M,35-44,42.0
Fashion,android,M,18-24,10.0
Technology,iOS,F,55+,35.0
Games,android,F,18-24,41.0
Sports,iOS,M,25-34,49.0
Sports,android,U,18-24,40.0
Technology,android,F,18-24,35.0
Games,iOS,M,18-24,31.0
Sports,android,F,55+,63.0
Games,iOS,F,25-34,22.0
Sports,iOS,M,18-24,50.0
Games,android,M,18-24,41.0
Technology,iOS,F,18-24,23.0
Fashion,iOS,U,18-24,29.0
Environment,iOS,F,18-24,52.0
Games,android,M,18-24,36.0
Sports,android,M,18-24,41.0
Sports,iOS,M,18-24,47.0
Sports,iOS,M,35-44,63.0
Fashion,android,F,18-24,46.0
Technology,iOS,F,18-24,20.0
Games,android,F,25-34,57.0
Fashion,android,M,18-24,43.0
Fashion,iOS,F,55+,31.0
Environment,iOS,F,18-24,68.0
Games,android,F,18-24,50.0
Games,android,F,18-24,52.0
Environment,iOS,M,55+,33.0
Fashion,iOS,F,55+,47.0
Fashion,iOS,M,55+,46.0
Sports,android,F,18-24,44.0
Games,android,M,55+,43.0
Fashion,iOS,F,55+,54.0
Sports,android,M,45-54,38.0
Technology,android,F,18-24,39.0
Environment,iOS,M,25-34,54.0
Technology,android,F,55+,39.0
Environment,iOS,F,18-24,35.0
Technology,android,F,18-24,30.0
Games,iOS,F,18-24,38.0
Games,iOS,F,18-24,46.0
Games,iOS,M,18-24,29.0
Games,iOS,M,25-34,43.0
Sports,android,U,18-24,40.0
Technology,iOS,F,35-44,47.0
Fashion,iOS,F,18-24,44.0
Fashion,iOS,M,55+,47.0
Games,android,M,18-24,28.0
Technology,iOS,F,25-34,36.0
Fashion,iOS,M,18-24,31.0
Fashion,iOS,M,18-24,22.0
Games,android,F,25-34,6.0
Environment,iOS,M,18-24,51.0
Games,android,F,18-24,51.0
Environment,android,M,55+,46.0
Fashion,iOS,M,18-24,5.0
Fashion,iOS,M,18-24,34.0
Games,android,M,55+,22.0
Environment,iOS,F,55+,36.0
Technology,iOS,F,25-34,59.0
Technology,iOS,M,18-24,21.0
Games,iOS,M,18-24,27.0
Technology,iOS,M,18-24,69.0
Technology,iOS,U,18-24,43.0
Environment,iOS,M,18-24,57.0
Sports,android,M,55+,58.0
Sports,android,M,45-54,54.0
Fashion,android,F,35-44,8.0
Sports,iOS,F,18-24,51.0
Technology,android,M,18-24,15.0
Games,android,F,45-54,36.0
Games,iOS,F,18-24,14.0
Fashion,iOS,U,35-44,44.0
Technology,iOS,F,18-24,50.0
Sports,android,M,18-24,54.0
Fashion,android,U,55+,41.0
Games,iOS,M,55+,45.0
Games,android,F,18-24,42.0
Environment,iOS,M,18-24,55.0
Sports,android,M,18-24,34.0
Games,iOS,F,35-44,40.0
Games,android,F,45-54,36.0
Games,iOS,M,45-54,35.0
Environment,iOS,U,18-24,37.0
Fashion,iOS,M,45-54,49.0
Fashion,android,F,18-24,45.0
Sports,iOS,M,18-24,41.0
Games,iOS,M,25-34,70.0
Fashion,android,F,18-24,36.0
Games,iOS,M,18-24,38.0
Fashion,iOS,F,35-44,44.0
Environment,iOS,F,35-44,24.0
Sports,iOS,U,55+,23.0
